address,city,price,bedrooms,bathrooms,sqft,year_built,features,school_district,hoa,notes
"1247 Bel Air Road","Bel Air",18500000,7,9,12400,2018,"Infinity pool, home theater, wine cellar, smart home, 6-car garage, gym, sauna, guest house","Los Angeles Unified","None","Modern architectural masterpiece on a private hilltop. Panoramic city-to-ocean views. Showings by appointment with proof of funds."
"887 Stradella Road","Bel Air",24900000,6,8,10200,2020,"Resort-style pool, outdoor kitchen, two-story foyer, primary suite with dual closets, elevator, smart home","Los Angeles Unified","None","Designed by acclaimed architect. Walls of glass open to canyon views. Full security system."
"1100 Carolwood Drive","Holmby Hills",39000000,9,12,18500,1932,"Tennis court, swimming pool, ballroom, library, motor court, staff quarters, fully gated","Los Angeles Unified","None","Historic Holmby Hills estate on 2.3 acres. One of LA's most prestigious addresses. Discreet, private showings only."
"23410 Malibu Colony Road","Malibu",16800000,5,6,5200,2015,"Direct beachfront, infinity pool, expansive deck, glass walls, chef's kitchen, primary with ocean views","Santa Monica-Malibu Unified","$1,200/month","Iconic Malibu Colony location. Private beach access. The sunsets are unmatched."
"31500 Broad Beach Road","Malibu",27500000,6,7,7800,2019,"On 100 feet of sand, infinity-edge pool, wine room, outdoor lounge, gym, butler's pantry","Santa Monica-Malibu Unified","None","Brand new modern beachfront. Floor-to-ceiling glass throughout. Backyard meets the Pacific."
"9505 Lania Lane","Beverly Hills",12750000,5,7,7100,2014,"Pool, spa, gym, screening room, formal dining, two-story library, motor court","Beverly Hills Unified","None","Beverly Hills Flats. Walking distance to Rodeo Drive. Trophy property."
"1018 N Hillcrest Road","Beverly Hills",34500000,8,11,15600,2021,"Cabana, infinity pool, putting green, 12-seat theater, wine room, full spa, glass elevator","Beverly Hills Unified","None","Trousdale Estates. Jetliner views. Brand new construction by celebrated developer."
"1525 Rising Glen Road","Hollywood Hills",8950000,4,5,4800,2017,"Infinity pool, outdoor cinema, glass garage, primary suite balcony with city views","Los Angeles Unified","None","Above the Sunset Strip. Iconic 'Bird Streets' location. Walls of glass and panoramic views."
"7960 Mulholland Drive","Hollywood Hills",6450000,4,4,3900,2008,"Pool, spa, outdoor fireplace, chef's kitchen, three-car garage, wine wall","Los Angeles Unified","None","Mulholland address with views from downtown to the ocean. Quiet privacy."
"1145 Tower Road","Beverly Hills",22000000,7,9,9400,2016,"Tennis court, pool, pool house, motor court, formal gardens, gym, theater","Beverly Hills Unified","None","Beverly Hills Post Office. Gated estate on over an acre. Old Hollywood elegance, modern amenities."
"27220 Pacific Coast Highway","Malibu",45000000,7,9,11200,2022,"260 feet of beachfront, infinity pool, helipad, full bar, outdoor kitchen, screening room, two guest houses","Santa Monica-Malibu Unified","None","Trophy Malibu compound on prime coastline. One of the most significant estates on PCH."
"9255 Doheny Road","Beverly Hills",4250000,3,3,2400,1962,"Pool, gated motor court, walls of glass, two-car garage, chef's kitchen","Beverly Hills Unified","None","Beverly Hills Flats. Mid-century modern recently renovated. Move-in ready."
"1850 Coldwater Canyon Drive","Beverly Hills",7800000,4,5,4200,2009,"Infinity pool, outdoor kitchen, screening room, smart home, 3-car garage","Beverly Hills Unified","None","Above Sunset. Private gated property with canyon views."
"21800 Pacific Coast Highway","Malibu",9200000,4,4,3100,2016,"Direct ocean views, rooftop deck, glass walls, beach access","Santa Monica-Malibu Unified","None","Carbon Beach area. Open floor plan, perfect for entertaining."
"24500 Malibu Road","Malibu",13500000,5,6,4500,2018,"Beachfront, infinity pool, glass walls, gym, sauna, wine room","Santa Monica-Malibu Unified","None","On the sand. Floor-to-ceiling glass throughout."
"9200 Sunset Boulevard PH","West Hollywood",6500000,3,4,3800,2020,"Penthouse, private rooftop terrace, 360-degree views, concierge service, valet, two private elevators","Los Angeles Unified","$3,500/month","Top-floor residence at Sierra Towers. Iconic LA address with full-service amenities."
"1800 Camden Avenue","Brentwood",5800000,4,4,3600,2011,"Pool, mature landscaping, formal dining, library, three-car garage, gym","Los Angeles Unified","None","Brentwood Park. Traditional with modern updates. Close to Brentwood Country Mart."
"720 N Bedford Drive","Beverly Hills",16500000,6,8,8200,2017,"Pool, pool house, tennis court, motor court, full gym, theater, wine cellar","Beverly Hills Unified","None","Beverly Hills Flats. Gated estate with old Hollywood pedigree."
"3140 Coldwater Canyon Avenue","Studio City",3950000,4,4,3300,2015,"Pool, outdoor kitchen, primary suite balcony, gym, two-car garage","Los Angeles Unified","None","Studio City hills with valley views. Modern farmhouse design."
"1280 Stone Canyon Road","Bel Air",28500000,7,10,13200,2019,"Resort-style pool, outdoor pavilion, full spa, theater, wine cave, motor court for 12, helipad","Los Angeles Unified","None","Bel Air's prestigious East Gate. Modern Mediterranean estate on 1.5 acres."
"23200 Mariposa de Oro","Malibu",6800000,4,4,3200,2014,"Ocean views, infinity pool, outdoor fireplace, primary suite with deck","Santa Monica-Malibu Unified","None","Point Dume bluff. Walk to Westward Beach."
"1500 Doheny Drive","West Hollywood",2950000,2,3,1850,2019,"Modern condo, floor-to-ceiling windows, gourmet kitchen, secured parking, gym, pool","Los Angeles Unified","$1,200/month","Doheny Hills boutique building. Walking distance to Sunset Strip."
"9560 Wilshire Boulevard PH","Beverly Hills",11500000,3,4,4200,2021,"Penthouse, private rooftop pool, 360-degree views, concierge, valet, dual elevators","Beverly Hills Unified","$5,800/month","Brand new tower in Beverly Hills Triangle. Walk to Rodeo Drive."
"2900 Beverly Glen Place","Bel Air",5200000,4,4,3800,2008,"Pool, large backyard, chef's kitchen, primary suite, three-car garage","Los Angeles Unified","None","Bel Air canyon location. Quiet cul-de-sac, family-friendly neighborhood."
